字段名,字段类型,说明,示例/选项
立项ID,文本,唯一立项编号,INIT-SER-001
立项名称,文本,产品机会名称,Seruna 山型支撑护膝
品牌,单选,所属品牌,Seruna / ENYISA / 奈肤 Silk-Skin / JFK / TMT / 其他
品类,文本,产品品类,护膝 / 护踝 / 鞋垫
机会来源,单选,机会来源类型,品类缺失 / 竞品 / 自有爆品 / 未起量产品 / 运营反馈 / 销售反馈 / 老板输入
产品资料,附件/链接,竞品链接、图片、参数、销售截图,链接或附件
当前是否已有自有产品,单选,判断是否已有自有SKU,有 / 没有 / 需人工确认
是否已有竞品验证,单选,市场是否已有竞品证明,是 / 否 / 需人工确认
目标用户,长文本,用户画像,运动人群/康复防护用户
使用场景,长文本,使用场景,跑步/健身/日常防护
核心痛点,多选/长文本,用户痛点,支撑不足 / 滑落 / 闷热 / 勒痕 / 价格高
目标价格带,文本,目标零售价格区间,99-199元
目标渠道,多选,销售渠道,抖音 / 天猫 / 京东 / 私域 / 线下 / 跨境
当前销售表现,长文本,爆品或未起量产品必填,月销/转化/退货/评价
已知问题,长文本,差评、退货或未起量原因,卖点不清/成本高/视觉弱
供应链资源,文本,供应链现状,已有 / 需找 / 需人工确认
品牌资产空间,多选,可植入品牌资产,品牌色 / 品牌符号 / 品牌材料 / 品牌语言 / 系列识别 / 包装一致性 / 结构语言
立项前模块复用率,数字,AI根据模块预判汇总,0-100
模块闸口结论,单选,模块对立项的影响,模块高复用，可快速推进 / 模块中等复用，建议小样测试 / 模块低复用，默认暂缓 / 核心模块缺失，不建议直接立项 / 需人工确认
模块驱动立项原因,单选,模块为什么影响立项,因已有模块可快速升级 / 因升级中可复用模块降低难度 / 因关键模块缺失提高风险 / 模块信息不足需确认
AI判断项目类型,单选,四类立项路径,品类地图缺失 / 竞品产品升级 / 现有爆品升级 / 未起量产品升级 / 需人工确认
立项总分,数字,AI评分折算为100分,0-100
推荐动作,单选,立项建议,建议立项 / 小样测试 / 暂缓补资料 / 不建议立项 / 止损
最大机会,长文本,AI生成机会判断,山型符号可升级为支撑结构
最大风险,长文本,AI生成风险判断,核心结构和成本需确认
人工确认点,长文本,所有未知信息,竞品销量/成本/工厂能力
下一步智能体,单选,路由到下游智能体,品类增长 / 产品模块化 / 品牌资产 / 材料创新 / 供应链打样 / 内容短视频 / 财务测算
当前状态,单选,立项流程状态,待判断 / 待补资料 / 已建议立项 / 小样测试 / 暂缓 / 放弃 / 已转项目
提交人,人员,提交人,
产品负责人,人员,默认党英轩,党英轩
创建时间,日期,创建日期,
更新时间,日期,更新时间,
