字段名,字段类型,是否必填,说明,示例/选项
临时编号,文本,是,收集阶段用，正式入库后由产品部统一分配 CBB-XXX 编号,TMP-001
模块名,文本,是,一眼能看懂的名字，不要起代号,Seruna蓝外观模块 / 奈肤亲肤接触层
模块维度,单选,是,6个标准维度 + 待归类（兜底）,版型 / 材料 / 结构 / 外观 / 功能 / 包装 / 待归类
归属品牌,多选,是,可属于多个品牌或通用,Seruna / ENYISA / 奈肤 Silk-Skin / JFK / TMT / 通用
一句话说明,长文本,是,这个模块是什么、解决什么问题，禁止只写名词,在护具内侧贴 5cm 宽硅胶防滑条，解决运动中滑落问题
来源SKU,文本,是,这个模块是从哪个产品里沉淀出来的，没有就写"概念",Seruna 护膝 V1 / 奈肤蚕丝睡眠面膜 / 概念
状态,单选,是,模块当前的成熟度,已量产 / 打样过 / 概念 / 已禁用（踩坑）
关键参数,长文本,否,色号/克重/尺寸/工艺/MOQ等，第一版可以留空，后面补,色号 PANTONE 2925C / 克重 180g/㎡ / 弹力 30%
适用品类,多选,否,这个模块能用在哪些品类上,护膝 / 护踝 / 鞋垫 / 文胸 / 内裤 / 跨品类通用
不适用场景,长文本,否,踩过哪些坑、哪些场景下不能用,皮肤敏感人群 / 高温环境下脱胶
负责人,人员,是,这个模块以后由谁继续维护,党英轩 / 黄学善 / 那日苏 / 曹树洋 / 供应链
建议归入维度,文本,否,只在"维度=待归类"时填，写收集者自己的判断,服务模块 / 内容模块 / 渠道模块
收集来源,单选,是,这条是从哪场访谈/哪份文档里挖出来的,党英轩访谈 / 黄学善访谈 / 那日苏访谈 / 曹树洋访谈 / 供应链访谈 / 复盘文档 / 客诉记录 / 销售反馈 / 其他
收集时间,日期,是,自动,2026-05-21
确认状态,单选,是,负责人是否过目并确认,待负责人确认 / 已确认 / 已驳回 / 需补参数
